season,year,month,hour,holiday,weekday,workingday,weather,temp,feel_temp,humidity,windspeed,count
spring,0,1,0,False,6,False,clear,9.84,14.395,0.81,0.0,0.016376663254861822
spring,0,1,1,False,6,False,clear,9.02,13.635,0.8,0.0,0.04094165813715456
spring,0,1,2,False,6,False,clear,9.02,13.635,0.8,0.0,0.032753326509723645
spring,0,1,3,False,6,False,clear,9.84,14.395,0.75,0.0,0.01330603889457523
spring,0,1,4,False,6,False,clear,9.84,14.395,0.75,0.0,0.0010235414534288639
spring,0,1,5,False,6,False,misty,9.84,12.88,0.75,6.0032,0.0010235414534288639
spring,0,1,6,False,6,False,clear,9.02,13.635,0.8,0.0,0.0020470829068577278
spring,0,1,7,False,6,False,clear,8.200000000000001,12.88,0.86,0.0,0.0030706243602865915
spring,0,1,8,False,6,False,clear,9.84,14.395,0.75,0.0,0.008188331627430911
spring,0,1,9,False,6,False,clear,13.12,17.424999999999997,0.76,0.0,0.014329580348004094
spring,0,1,10,False,6,False,clear,15.58,19.695,0.76,16.997899999999998,0.0368474923234391
spring,0,1,11,False,6,False,clear,14.76,16.665,0.81,19.0012,0.057318321392016376
spring,0,1,12,False,6,False,clear,17.22,21.21,0.77,19.0012,0.08597748208802457
spring,0,1,13,False,6,False,misty,18.86,22.725,0.72,19.9995,0.09621289662231321
spring,0,1,14,False,6,False,misty,18.86,22.725,0.72,19.0012,0.10849539406345957
spring,0,1,15,False,6,False,misty,18.04,21.97,0.77,19.9995,0.11258955987717502
spring,0,1,16,False,6,False,misty,17.22,21.21,0.82,19.9995,0.09518935516888434
spring,0,1,17,False,6,False,misty,18.04,21.97,0.82,19.0012,0.06857727737973388
spring,0,1,18,False,6,False,rain,17.22,21.21,0.88,16.997899999999998,0.03582395087001024
spring,0,1,19,False,6,False,rain,17.22,21.21,0.88,16.997899999999998,0.037871033776867964
spring,0,1,20,False,6,False,misty,16.400000000000002,20.455,0.87,16.997899999999998,0.0368474923234391
spring,0,1,21,False,6,False,misty,16.400000000000002,20.455,0.87,12.998,0.03480040941658137
spring,0,1,22,False,6,False,misty,16.400000000000002,20.455,0.94,15.0013,0.028659160696008188
spring,0,1,23,False,6,False,misty,18.86,22.725,0.88,19.9995,0.03991811668372569
spring,0,1,0,False,0,False,misty,18.86,22.725,0.88,19.9995,0.017400204708290685
spring,0,1,1,False,0,False,misty,18.04,21.97,0.94,16.997899999999998,0.017400204708290685
spring,0,1,2,False,0,False,misty,17.22,21.21,1.0,19.0012,0.009211873080859774
spring,0,1,3,False,0,False,misty,18.86,22.725,0.94,12.998,0.006141248720573183
spring,0,1,4,False,0,False,misty,18.86,22.725,0.94,12.998,0.0030706243602865915
spring,0,1,6,False,0,False,rain,17.22,21.21,0.77,19.9995,0.0020470829068577278
spring,0,1,7,False,0,False,misty,16.400000000000002,20.455,0.76,12.998,0.0010235414534288639
spring,0,1,8,False,0,False,rain,16.400000000000002,20.455,0.71,15.0013,0.008188331627430911
spring,0,1,9,False,0,False,misty,15.58,19.695,0.76,15.0013,0.02047082906857728
spring,0,1,10,False,0,False,misty,14.76,17.424999999999997,0.81,15.0013,0.05424769703172978
spring,0,1,11,False,0,False,misty,14.76,16.665,0.71,16.997899999999998,0.07164790174002048
spring,0,1,12,False,0,False,misty,14.76,16.665,0.66,19.9995,0.09518935516888434
spring,0,1,13,False,0,False,misty,14.76,17.424999999999997,0.66,8.9981,0.0767656090071648
spring,0,1,14,False,0,False,rain,14.76,17.424999999999997,0.76,12.998,0.06038894575230297
spring,0,1,15,False,0,False,rain,13.94,16.665,0.81,11.0014,0.07574206755373593
spring,0,1,16,False,0,False,rain,13.94,16.665,0.71,11.0014,0.07778915046059365
spring,0,1,17,False,0,False,clear,13.94,16.665,0.57,12.998,0.06653019447287616
spring,0,1,18,False,0,False,misty,14.76,16.665,0.46,22.0028,0.05424769703172978
spring,0,1,19,False,0,False,clear,13.12,14.395,0.42,30.0026,0.030706243602865915
spring,0,1,20,False,0,False,clear,12.3,13.635,0.39,23.9994,0.022517911975435005
spring,0,1,21,False,0,False,clear,10.66,11.365,0.44,22.0028,0.03172978505629478
spring,0,1,22,False,0,False,clear,9.84,10.605,0.44,19.9995,0.009211873080859774
spring,0,1,23,False,0,False,clear,9.02,11.365,0.47,11.0014,0.008188331627430911
spring,0,1,0,False,1,True,clear,9.02,9.85,0.44,23.9994,0.00511770726714432
spring,0,1,1,False,1,True,clear,8.200000000000001,8.334999999999999,0.44,27.9993,0.0020470829068577278
spring,0,1,4,False,1,True,clear,6.5600000000000005,6.819999999999999,0.47,26.0027,0.0010235414534288639
spring,0,1,5,False,1,True,clear,6.5600000000000005,6.819999999999999,0.47,19.0012,0.0030706243602865915
spring,0,1,6,False,1,True,clear,5.74,5.305,0.5,26.0027,0.030706243602865915
spring,0,1,7,False,1,True,clear,5.74,6.819999999999999,0.5,12.998,0.06550665301944729
spring,0,1,8,False,1,True,clear,5.74,6.0600000000000005,0.5,19.0012,0.15762538382804503
spring,0,1,9,False,1,True,clear,6.5600000000000005,6.819999999999999,0.43,26.0027,0.09007164790174002
spring,0,1,10,False,1,True,clear,7.38,8.334999999999999,0.43,16.997899999999998,0.04503582395087001
spring,0,1,11,False,1,True,clear,8.200000000000001,9.09,0.4,22.0028,0.052200614124872056
spring,0,1,12,False,1,True,clear,9.02,10.605,0.35,19.9995,0.062436028659160696
spring,0,1,13,False,1,True,clear,9.84,10.605,0.35,19.0012,0.062436028659160696
spring,0,1,14,False,1,True,clear,10.66,12.12,0.3,19.0012,0.07881269191402251
spring,0,1,15,False,1,True,clear,10.66,12.12,0.3,16.997899999999998,0.0736949846468782
